dateTime,parameter,value,code
2026-05-15T14:10:00Z,flow_cfs,80.1,P
2026-05-15T14:10:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:10:00Z,specCond_uscm,55,P
2026-05-15T14:10:00Z,pH,7.8,P
2026-05-15T14:10:00Z,chla_rfu,1.08,P
2026-05-15T14:10:00Z,turb_NTU,1.2,P
2026-05-15T14:10:00Z,X_72255,0.14,P
2026-05-15T14:20:00Z,temp_C,8.1,P
2026-05-15T14:20:00Z,flow_cfs,80.1,P
2026-05-15T14:20:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:20:00Z,specCond_uscm,55,P
2026-05-15T14:20:00Z,pH,7.8,P
2026-05-15T14:20:00Z,chla_rfu,0.99,P
2026-05-15T14:20:00Z,turb_NTU,1.3,P
2026-05-15T14:20:00Z,X_72255,0.14,P
2026-05-15T14:30:00Z,temp_C,8.1,P
2026-05-15T14:30:00Z,flow_cfs,103,P
2026-05-15T14:30:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:30:00Z,specCond_uscm,55,P
2026-05-15T14:30:00Z,pH,7.8,P
2026-05-15T14:30:00Z,chla_rfu,1.17,P
2026-05-15T14:30:00Z,turb_NTU,1.1,P
2026-05-15T14:30:00Z,X_72255,0.18,P
2026-05-15T14:40:00Z,temp_C,8.2,P
2026-05-15T14:40:00Z,flow_cfs,91.5,P
2026-05-15T14:40:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:40:00Z,specCond_uscm,55,P
2026-05-15T14:40:00Z,pH,7.8,P
2026-05-15T14:40:00Z,chla_rfu,1.24,P
2026-05-15T14:40:00Z,turb_NTU,1.2,P
2026-05-15T14:40:00Z,X_72255,0.16,P
2026-05-15T14:50:00Z,temp_C,8.2,P
2026-05-15T14:50:00Z,flow_cfs,114,P
2026-05-15T14:50:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:50:00Z,specCond_uscm,55,P
2026-05-15T14:50:00Z,pH,7.8,P
2026-05-15T14:50:00Z,chla_rfu,1.13,P
2026-05-15T14:50:00Z,turb_NTU,1.2,P
2026-05-15T14:50:00Z,X_72255,0.2,P
2026-05-15T15:00:00Z,temp_C,8.3,P
2026-05-15T15:00:00Z,flow_cfs,109,P
2026-05-15T15:00:00Z,gauge_ht_ft,8.64,P
2026-05-15T15:00:00Z,specCond_uscm,55,P
2026-05-15T15:00:00Z,pH,7.8,P
2026-05-15T15:00:00Z,chla_rfu,1.04,P
2026-05-15T15:00:00Z,turb_NTU,1.2,P
2026-05-15T15:00:00Z,X_72255,0.19,P
2026-05-15T15:10:00Z,temp_C,8.3,P
2026-05-15T15:10:00Z,flow_cfs,97,P
2026-05-15T15:10:00Z,gauge_ht_ft,8.63,P
2026-05-15T15:10:00Z,specCond_uscm,55,P
2026-05-15T15:10:00Z,pH,7.8,P
2026-05-15T15:10:00Z,chla_rfu,1.68,P
2026-05-15T15:10:00Z,turb_NTU,1.1,P
2026-05-15T15:10:00Z,X_72255,0.17,P
2026-05-15T15:20:00Z,temp_C,8.4,P
2026-05-15T15:20:00Z,flow_cfs,91.5,P
2026-05-15T15:20:00Z,gauge_ht_ft,8.64,P
2026-05-15T15:20:00Z,specCond_uscm,55,P
2026-05-15T15:20:00Z,pH,7.8,P
2026-05-15T15:20:00Z,chla_rfu,1.34,P
2026-05-15T15:20:00Z,turb_NTU,1.1,P
2026-05-15T15:20:00Z,X_72255,0.16,P
2026-05-15T15:30:00Z,temp_C,8.5,P
2026-05-15T15:30:00Z,flow_cfs,57.4,P
2026-05-15T15:30:00Z,gauge_ht_ft,8.64,P
2026-05-15T15:30:00Z,specCond_uscm,55,P
2026-05-15T15:30:00Z,pH,7.8,P
2026-05-15T15:30:00Z,chla_rfu,0.94,P
2026-05-15T15:30:00Z,turb_NTU,1.1,P
2026-05-15T15:30:00Z,X_72255,0.1,P
2026-05-15T15:40:00Z,temp_C,8.5,P
2026-05-15T15:40:00Z,flow_cfs,17.6,P
2026-05-15T15:40:00Z,gauge_ht_ft,8.64,P
2026-05-15T15:40:00Z,specCond_uscm,55,P
2026-05-15T15:40:00Z,pH,7.8,P
2026-05-15T15:40:00Z,chla_rfu,0.96,P
2026-05-15T15:40:00Z,turb_NTU,1.1,P
2026-05-15T15:40:00Z,X_72255,0.03,P
2026-05-15T15:50:00Z,temp_C,10.4,P
2026-05-15T15:50:00Z,flow_cfs,-39.2,P
2026-05-15T15:50:00Z,gauge_ht_ft,8.64,P
2026-05-15T15:50:00Z,specCond_uscm,59,P
2026-05-15T15:50:00Z,pH,7.9,P
2026-05-15T15:50:00Z,chla_rfu,0.81,P
2026-05-15T15:50:00Z,turb_NTU,1.1,P
2026-05-15T15:50:00Z,X_72255,-0.07,P
2026-05-15T16:00:00Z,temp_C,12.2,P
2026-05-15T16:00:00Z,flow_cfs,-102,P
2026-05-15T16:00:00Z,gauge_ht_ft,8.63,P
2026-05-15T16:00:00Z,specCond_uscm,65,P
2026-05-15T16:00:00Z,pH,8.1,P
2026-05-15T16:00:00Z,chla_rfu,0.59,P
2026-05-15T16:00:00Z,turb_NTU,1.4,P
2026-05-15T16:00:00Z,X_72255,-0.18,P
2026-05-15T16:10:00Z,temp_C,12.6,P
2026-05-15T16:10:00Z,flow_cfs,-124,P
2026-05-15T16:10:00Z,gauge_ht_ft,8.64,P
2026-05-15T16:10:00Z,specCond_uscm,65,P
2026-05-15T16:10:00Z,pH,8.1,P
2026-05-15T16:10:00Z,chla_rfu,0.52,P
2026-05-15T16:10:00Z,turb_NTU,1.4,P
2026-05-15T16:10:00Z,X_72255,-0.22,P
2026-05-15T16:20:00Z,temp_C,12.9,P
2026-05-15T16:20:00Z,flow_cfs,-119,P
2026-05-15T16:20:00Z,gauge_ht_ft,8.64,P
2026-05-15T16:20:00Z,specCond_uscm,65,P
2026-05-15T16:20:00Z,pH,8.1,P
2026-05-15T16:20:00Z,chla_rfu,0.54,P
2026-05-15T16:20:00Z,turb_NTU,1.4,P
2026-05-15T16:20:00Z,X_72255,-0.21,P
2026-05-15T16:30:00Z,temp_C,13.2,P
2026-05-15T16:30:00Z,flow_cfs,-102,P
2026-05-15T16:30:00Z,gauge_ht_ft,8.65,P
2026-05-15T16:30:00Z,specCond_uscm,66,P
2026-05-15T16:30:00Z,pH,8.2,P
2026-05-15T16:30:00Z,chla_rfu,0.5,P
2026-05-15T16:30:00Z,turb_NTU,1.5,P
2026-05-15T16:30:00Z,X_72255,-0.18,P
2026-05-15T16:40:00Z,temp_C,13.1,P
2026-05-15T16:40:00Z,flow_cfs,-67.6,P
2026-05-15T16:40:00Z,gauge_ht_ft,8.64,P
